ticker,close,rsi,rsi_state,sma_short,sma_long,sma_state,golden_cross,death_cross,buy_signal,sell_signal,error
AES,14.6899995803833,66.39770225376313,neutral,14.341599941253662,14.198649969100952,bullish,False,False,False,False,
AFL,117.80999755859375,61.68439021768822,neutral,112.45959991455078,110.51860004425049,bullish,False,False,False,False,
AMD,449.5899963378906,69.90418889305701,neutral,297.7934002685547,229.35439979553223,bullish,False,False,False,False,
A,114.79000091552734,50.33240827125767,neutral,114.70800018310547,129.3953002548218,mixed,False,False,False,False,
ABBV,214.5,59.82629628093332,neutral,208.50739959716796,219.1355995941162,mixed,False,False,False,False,
MMM,151.60000610351562,58.046887655773624,neutral,146.83500061035156,157.63550056457518,mixed,False,False,False,False,
ABT,87.7699966430664,42.459289076300394,neutral,96.47919998168945,117.73079978942872,bearish,False,False,False,False,
ACN,177.8699951171875,48.12198984598401,neutral,187.04279998779296,233.4645497894287,bearish,False,False,False,False,
ADBE,244.10000610351562,47.2657791188934,neutral,245.39200073242188,306.29354972839354,bearish,False,False,False,False,
AOS,57.16999816894531,37.20136811584657,neutral,63.002799377441406,68.87934978485107,bearish,False,False,False,False,
